decision_date,incumbent,sharpe_trend,sharpe_breakout,sharpe_meanrev,sharpe_momentum,sharpe_macross,circuit_breaker,challenger,action,new_active,instrument,lookback_months
2019-01-01 00:00:00+00:00,CASH,-1.624312118344923,-0.05665876933088856,-2.9286472443083253,1.4923575698741107,0.24313163802463236,False,momentum,switch_from_cash,momentum,BTCUSDT,12
2020-01-01 00:00:00+00:00,momentum,0.6627602141479264,0.1995131934963938,-2.5639718429236256,-1.351964705515442,1.5860352301443306,False,macross,switch_family,macross,BTCUSDT,12
2021-01-01 00:00:00+00:00,macross,-0.48189519845606943,0.8892376150582412,-1.740763750993349,-1.2111446762777343,0.7293680586239134,False,breakout,hold,macross,BTCUSDT,12
2022-01-01 00:00:00+00:00,macross,0.7609582427895358,-1.618651691474628,-1.3876693676278227,-1.3275320992526876,0.5935134490109311,False,trend,hold,macross,BTCUSDT,12
2023-01-01 00:00:00+00:00,macross,-1.785678180412386,-0.15011223655323092,-0.7077643311802928,0.10545614029994511,-0.14222461603850736,False,momentum,hold,macross,BTCUSDT,12
2024-01-01 00:00:00+00:00,macross,-1.2252092369099363,-0.32904005372114703,-0.4484287216730275,-0.6351753334529474,-0.2506723620397728,True,macross,switch_to_cash,CASH,BTCUSDT,12
2025-01-01 00:00:00+00:00,CASH,0.37278407171684463,0.23627830160701183,-0.46261809592276276,0.9696039556024857,1.0791588844427398,False,macross,switch_from_cash,macross,BTCUSDT,12
2026-01-01 00:00:00+00:00,macross,-1.0012052843136074,-0.9404482471965075,-0.17309387225639,0.4983938460556042,0.07741947151142682,False,momentum,switch_family,momentum,BTCUSDT,12
2020-01-01 00:00:00+00:00,CASH,-0.4245462787451767,0.0791790722899723,-2.7453586869913433,0.15845817039894153,0.9625299500627736,False,macross,switch_from_cash,macross,BTCUSDT,24
2022-01-01 00:00:00+00:00,macross,0.1823854637744887,-0.32392157321689863,-1.574815788006921,-1.2712757508863235,0.6644622073696688,False,macross,hold,macross,BTCUSDT,24
2024-01-01 00:00:00+00:00,macross,-1.5018378420214469,-0.2396876257644432,-0.5846230807042736,-0.2844019152903444,-0.19444951760094778,True,macross,switch_to_cash,CASH,BTCUSDT,24
2026-01-01 00:00:00+00:00,CASH,-0.35383590494780703,-0.3558691264915933,-0.31705159092342483,0.7359354401947382,0.5347625673949332,False,momentum,switch_from_cash,momentum,BTCUSDT,24
2019-01-01 00:00:00+00:00,CASH,0.6106047580288334,1.8042650489133678,-1.9103867832551875,0.6107789399273043,0.5110939632894994,False,breakout,switch_from_cash,breakout,ETHUSDT,12
2020-01-01 00:00:00+00:00,breakout,0.9058816956338746,-0.28293267330782784,-0.49484154678746395,-0.5059714846990876,0.7261162818735744,False,trend,switch_family,trend,ETHUSDT,12
2021-01-01 00:00:00+00:00,trend,0.5359425619015982,0.8340688371480259,-1.4701119241404415,0.5196580037250987,0.7968789305636619,False,breakout,hold,trend,ETHUSDT,12
2022-01-01 00:00:00+00:00,trend,1.0490796916205467,-0.1891501716235275,-1.6025160334092308,-1.1384551929254547,0.6361227956898138,False,trend,hold,trend,ETHUSDT,12
2023-01-01 00:00:00+00:00,trend,-0.5962080433535532,-0.22419774665450645,-1.0000608734455994,-0.6825190170473243,0.13473908838219906,False,macross,switch_family,macross,ETHUSDT,12
2024-01-01 00:00:00+00:00,macross,-0.9622523973117604,-0.9538490088568596,-0.00946671849996252,0.07713621221198708,0.6304362028378043,False,macross,hold,macross,ETHUSDT,12
2025-01-01 00:00:00+00:00,macross,-1.1466155905370323,0.369823327418055,-1.376811655844897,0.17293054536148444,-1.6298275117819254,False,breakout,switch_family,breakout,ETHUSDT,12
2026-01-01 00:00:00+00:00,breakout,-0.12425911687672374,-0.6816696778138354,-0.8072602219038137,-0.5762842560882879,-0.4265007041269356,True,trend,switch_to_cash,CASH,ETHUSDT,12
2020-01-01 00:00:00+00:00,CASH,0.756863300822311,0.8424793674187131,-1.3019065983858493,0.0214181544001692,0.618745284650117,False,breakout,switch_from_cash,breakout,ETHUSDT,24
2022-01-01 00:00:00+00:00,breakout,0.7831188783637558,0.3217537212400804,-1.5058207928967642,-0.29861147856263787,0.7196840500460014,False,trend,switch_family,trend,ETHUSDT,24
2024-01-01 00:00:00+00:00,trend,-0.7875301158447311,-0.58935391412447,-0.532836929374057,-0.30561142946758757,0.37330102882052235,False,macross,switch_family,macross,ETHUSDT,24
2026-01-01 00:00:00+00:00,macross,-0.6016134788748215,-0.12872476745284117,-1.0848504576842553,-0.19774523912289044,-0.9570990194031236,True,breakout,switch_to_cash,CASH,ETHUSDT,24
