entry_time,exit_time,side,reason,entry_mid,exit_mid,risk_price,gross_R,cost_R,net_R,ret_frac,instrument,target,stop,trigger
2013-10-30 14:00:00+00:00,2013-10-30 18:18:00+00:00,short,target,3402.608,3375.568,6.199499999999716,4.361642067908896,0.44815744495525883,3.913484622953637,0.03913484622953637,NAS100,range,sneaky,c3
2013-11-18 15:00:00+00:00,2013-11-18 15:05:00+00:00,short,target,3414.7615,3408.3755,9.117999999999938,0.7003728887914028,0.04496155927835082,0.655411329513052,0.00655411329513052,NAS100,range,sneaky,c3
2013-11-19 15:00:00+00:00,2013-11-19 18:24:00+00:00,long,stop,3394.88,3377.191,17.689000000000306,-1.0,0.12932710724178645,-1.1293271072417865,-0.011293271072417866,NAS100,range,sneaky,c3
2013-11-25 15:00:00+00:00,2013-11-25 19:14:00+00:00,short,stop,3425.948,3436.6684999999998,10.720499999999902,-1.0,0.04064051303577296,-1.040640513035773,-0.01040640513035773,NAS100,range,sneaky,c3
2013-12-03 15:00:00+00:00,2013-12-03 16:30:00+00:00,long,stop,3483.865,3474.799,9.065999999999804,-1.0,0.2643339096624809,-1.2643339096624808,-0.012643339096624809,NAS100,range,sneaky,c3
2013-12-17 15:03:00+00:00,2013-12-17 15:51:00+00:00,long,stop,3470.9965,3463.1710000000003,7.82549999999992,-1.0,0.09208546067344031,-1.0920854606734403,-0.010920854606734403,NAS100,range,sneaky,c3
2013-12-23 15:00:00+00:00,2013-12-23 16:06:00+00:00,short,stop,3555.2625,3563.4700000000003,8.207500000000437,-1.0,0.29486348614070923,-1.2948634861407093,-0.012948634861407094,NAS100,range,sneaky,c3
2013-12-30 15:00:00+00:00,2013-12-30 20:59:00+00:00,long,time,3565.3985000000002,3569.835,6.461500000000342,0.6866052774122977,0.07548570803992481,0.6111195693723729,0.006111195693723729,NAS100,range,sneaky,c3
2014-01-24 15:07:00+00:00,2014-01-24 15:41:00+00:00,long,stop,3590.3914999999997,3579.624,10.767499999999927,-1.0,0.2335152493615061,-1.233515249361506,-0.01233515249361506,NAS100,range,sneaky,c3
2014-01-30 15:00:00+00:00,2014-01-30 15:37:00+00:00,short,stop,3509.3265,3518.887,9.560500000000047,-1.0,0.028147714293185362,-1.0281477142931854,-0.010281477142931855,NAS100,range,sneaky,c3
