long_short,thr,H,n_events,n_long,n_short,insufficient,n_obs,mean_active,net_sharpe,gross_sharpe,net_pf,cagr,total_return,max_dd,skew,ekurt,top_year_share,yr,ev_mean_drift,ev_win_rate,ev_median_drift,is_sharpe,is_pf,is_cagr,is_n,oos_sharpe,oos_pf,oos_cagr,oos_n,gfc_sharpe,gfc_cagr,gfc_n,beats_bh,oos_holds,not_conc,pos_sharpe,net_pf_gt1,SURVIVOR
True,1.0,20,2295,2044,251,False,4820,9.522821576763485,0.5727652548797927,0.6578989698070771,1.1213065926202168,0.097700336548036,4.947479441145088,0.3881092304777445,-0.4386576440320366,34.63184897925537,0.16710795891257385,"{2006: np.float64(0.006583957169230992), 2007: np.float64(0.16764180230605774), 2008: np.float64(-0.31451312983400936), 2009: np.float64(0.20014232228361095), 2010: np.float64(0.06431794760367104), 2011: np.float64(0.24598161338301927), 2012: np.float64(0.12771123831245523), 2013: np.float64(0.2623000853209372), 2014: np.float64(0.09032853116897233), 2015: np.float64(0.012632287065560854), 2016: np.float64(0.09871248118888887), 2017: np.float64(0.10668892580965461), 2018: np.float64(0.010751264489753387), 2019: np.float64(0.34845687232417943), 2020: np.float64(-0.0009223536857450032), 2021: np.float64(0.22270733386934727), 2022: np.float64(-0.07832933024356858), 2023: np.float64(0.2934647985461367), 2024: np.float64(0.20429227428037944), 2025: np.float64(0.03963420451885824), 2026: np.float64(-0.023363040660012047)}",0.011484223686496616,0.5773420479302832,0.011506253382605136,0.5038955901413823,1.1060931560541785,0.08524079812645047,971,0.6410897188474473,1.1365080063478308,0.10947581481316648,1322,-0.08185069355528031,-0.07802389526652354,220,False,True,True,True,True,False
True,1.0,60,2295,2044,251,False,4946,27.840679336837848,0.8574995798220724,0.9064119660232918,1.1733634210387278,0.116112018394527,7.636940598041162,0.3222585394656356,-0.13284216361352005,8.153777310481802,0.1142689029642901,"{2006: np.float64(0.006583957169230992), 2007: np.float64(0.11101962316362401), 2008: np.float64(-0.12396758186745616), 2009: np.float64(0.014211527301707605), 2010: np.float64(0.07726217358102394), 2011: np.float64(0.10921912527386501), 2012: np.float64(0.09513236336623265), 2013: np.float64(0.25911554411208426), 2014: np.float64(0.22414129642652836), 2015: np.float64(0.03579479654419315), 2016: np.float64(0.11665378907462776), 2017: np.float64(0.22321345527695913), 2018: np.float64(0.03179623501652329), 2019: np.float64(0.27245969103216705), 2020: np.float64(0.18082165360859737), 2021: np.float64(0.2236680911411444), 2022: np.float64(-0.09511032966663757), 2023: np.float64(0.0668437034190763), 2024: np.float64(0.2258761712781423), 2025: np.float64(0.16161035855886552), 2026: np.float64(0.16802739175905335)}",0.02940179317141045,0.6130718954248366,0.03010858276775563,0.6445283509396401,1.1273242652727133,0.08825415740434805,945,1.1161644121906527,1.231641266007905,0.14858902265601648,1322,-0.15891904640192406,-0.059633951073859826,190,False,True,True,True,True,False
True,1.5,20,1599,1438,161,False,4679,6.834793759350289,0.46171414360341334,0.5363578715603605,1.099154351914816,0.07995483141207793,3.1711614344737855,0.487236452914471,-0.7779443796117759,30.61992370630696,0.209744447018473,"{2006: np.float64(0.006583957169230992), 2007: np.float64(0.29524203480402345), 2008: np.float64(-0.39047109263591917), 2009: np.float64(0.14122706684462116), 2010: np.float64(0.017105740576964568), 2011: np.float64(0.2058916811090945), 2012: np.float64(-0.09334719312372197), 2013: np.float64(0.2632001839476994), 2014: np.float64(-0.008207855018507404), 2015: np.float64(0.023438660247758536), 2016: np.float64(0.03670264152946312), 2017: np.float64(0.16650921493981974), 2018: np.float64(0.1306467262646014), 2019: np.float64(0.33876085957932656), 2020: np.float64(-0.07964693566842562), 2021: np.float64(0.23564380109015182), 2022: np.float64(-0.06541079543532224), 2023: np.float64(0.3804798242192151), 2024: np.float64(0.2345797735427131), 2025: np.float64(0.036835115550054365), 2026: np.float64(-0.061747212070865864)}",0.012826241319404033,0.5891181988742964,0.012134335904437688,0.2564857084717212,1.053836416011464,0.03252943709228351,652,0.6508696218227044,1.1427402644105504,0.12391363049513027,946,-0.33508395348516284,-0.16862867977055807,145,False,True,True,True,True,False
True,1.5,60,1599,1438,161,False,4946,19.397492923574607,0.907064155524245,0.953331820031353,1.1827418653485933,0.12753187496111318,9.547066431128739,0.2857113748480436,-0.05902266149865451,8.913439918857142,0.11422199353333734,"{2006: np.float64(0.006583957169230992), 2007: np.float64(0.1632958036925991), 2008: np.float64(-0.05925805934565398), 2009: np.float64(0.03668798855479816), 2010: np.float64(0.054430879974640245), 2011: np.float64(0.11772457753711896), 2012: np.float64(0.0874453609016308), 2013: np.float64(0.21428585917022036), 2014: np.float64(0.21078730683863323), 2015: np.float64(0.06405471121575057), 2016: np.float64(0.11222040454104398), 2017: np.float64(0.2178695535982893), 2018: np.float64(0.04032699396246486), 2019: np.float64(0.2968247880113857), 2020: np.float64(0.19138385878116493), 2021: np.float64(0.283233697065044), 2022: np.float64(-0.06971762138417503), 2023: np.float64(0.017701084447532045), 2024: np.float64(0.2760733681836136), 2025: np.float64(0.18619334402565846), 2026: np.float64(0.15051794138228192)}",0.03369598033444948,0.6228893058161351,0.03441449968433097,0.7028702055189114,1.136240210923952,0.09815144830385458,633,1.1353304355494147,1.2384617455811726,0.1598738786325553,946,-0.026320482491400208,-0.027704529841110936,124,False,True,True,True,True,False
True,2.0,20,1098,984,114,False,4479,4.902880107166778,0.4228591265871833,0.49056276353039596,1.0889239589614164,0.07471041498588193,2.598888632847799,0.5033683659233316,-0.6382302694917842,23.461095811920853,0.2862218888541213,"{2006: np.float64(0.006583957169230992), 2007: np.float64(0.26097098056392376), 2008: np.float64(-0.32343734165475946), 2009: np.float64(0.17777103366156832), 2010: np.float64(-0.013366522143208437), 2011: np.float64(0.14373872762447149), 2012: np.float64(-0.0851954216432037), 2013: np.float64(0.2825413726906967), 2014: np.float64(0.0033413761933718256), 2015: np.float64(0.09795186698809522), 2016: np.float64(-0.052451798219899426), 2017: np.float64(0.23123953973410338), 2018: np.float64(0.11979647580460884), 2019: np.float64(0.4822273214160413), 2020: np.float64(-0.12387545785184784), 2021: np.float64(0.36485455491382823), 2022: np.float64(-0.16028184864502315), 2023: np.float64(0.2778734832929539), 2024: np.float64(0.11051609111410277), 2025: np.float64(-0.0014128971904781018), 2026: np.float64(-0.11458310729733412)}",0.01252404937453976,0.5919854280510018,0.013070038690570995,0.3207848684026182,1.0665891318300615,0.049419017211856264,444,0.5127557968058629,1.1090161198822341,0.09615559922785888,654,-0.07666922541520436,-0.10105185738977218,100,False,True,True,True,True,False
True,2.0,60,1098,984,114,False,4946,13.319854427820461,0.7563662389645367,0.7962489468813718,1.161180179788331,0.1190022386615297,8.086662256891723,0.33952606497348714,-0.28375300703654616,22.85872466179414,0.13457366859800293,"{2006: np.float64(0.006583957169230992), 2007: np.float64(0.13977228430905675), 2008: np.float64(0.0052533652094266525), 2009: np.float64(0.032893357953566627), 2010: np.float64(0.004475882809727771), 2011: np.float64(0.08613281063162304), 2012: np.float64(0.08517517946297448), 2013: np.float64(0.2328414474353413), 2014: np.float64(0.1162738573663964), 2015: np.float64(0.12074853035813926), 2016: np.float64(0.04833937362946972), 2017: np.float64(0.23897357112272788), 2018: np.float64(0.031219959219860538), 2019: np.float64(0.32519431763894446), 2020: np.float64(0.08291344408393497), 2021: np.float64(0.3227706848988128), 2022: np.float64(0.029700089795956508), 2023: np.float64(0.0011886302930301795), 2024: np.float64(0.2223339430639757), 2025: np.float64(0.14687860733992109), 2026: np.float64(0.1368147663428234)}",0.033574523204223,0.6120218579234973,0.030697894449397967,0.6347452920044925,1.122623491335788,0.09064056844087953,430,0.8890684997234485,1.2062095082967335,0.15157410789206427,654,0.15939011475327053,0.010320447914184516,83,False,True,True,True,True,False
False,1.0,20,2044,2044,0,False,4776,8.559463986599665,0.6709510581609904,0.7362461374364561,1.1375686481281324,0.13243625416437022,9.560620649003639,0.39330335507768815,-0.2000393631473886,13.827680848460886,0.15761476532558755,"{2006: np.float64(0.006583957169230992), 2007: np.float64(0.156588994610237), 2008: np.float64(-0.15518991293937334), 2009: np.float64(0.3237774309515824), 2010: np.float64(0.03782140109523646), 2011: np.float64(0.16388389652324342), 2012: np.float64(0.2689534378881897), 2013: np.float64(0.34446256700314093), 2014: np.float64(0.08154575150248289), 2015: np.float64(0.0559033978861847), 2016: np.float64(0.10321671232108942), 2017: np.float64(0.09229296092616712), 2018: np.float64(-0.001321445176064473), 2019: np.float64(0.4283036785520282), 2020: np.float64(-0.01501106396519225), 2021: np.float64(0.30246339173683134), 2022: np.float64(-0.09042814123578813), 2023: np.float64(0.3303481947017044), 2024: np.float64(0.2437329917862987), 2025: np.float64(0.056379834984958244), 2026: np.float64(-0.016899691569245534)}",0.012568471224816125,0.5826810176125244,0.011808352504385833,0.677089205666771,1.1330573589370199,0.13881815779751938,835,0.6788955784871045,1.1449526981149563,0.13029310330512534,1208,0.47303465605728495,0.11106432668675614,181,False,True,True,True,True,False
False,1.0,60,2044,2044,0,False,4946,24.795794581479985,0.8045894056323867,0.8288983793990189,1.1697265283902325,0.14356758672112657,12.915671059475324,0.4551101067318408,-0.17127428783618207,13.613176254630092,0.11214027525481338,"{2006: np.float64(0.006583957169230992), 2007: np.float64(0.14898856202600474), 2008: np.float64(-0.2716614012003913), 2009: np.float64(0.24819833355604692), 2010: np.float64(0.11341424468000794), 2011: np.float64(0.11140057394471192), 2012: np.float64(0.1928970640085408), 2013: np.float64(0.3373767190758916), 2014: np.float64(0.24263820051731888), 2015: np.float64(0.049850578006240376), 2016: np.float64(0.1482537444267742), 2017: np.float64(0.22961781661504155), 2018: np.float64(0.009460085139154417), 2019: np.float64(0.326416803376256), 2020: np.float64(0.1738897457123696), 2021: np.float64(0.27414278354402066), 2022: np.float64(-0.08358267953896026), 2023: np.float64(0.12081381812445868), 2024: np.float64(0.2565533804073705), 2025: np.float64(0.18699942997761076), 2026: np.float64(0.1862723260855541)}",0.03629550177301343,0.6404109589041096,0.03615512954278377,0.653151869805712,1.132011344107697,0.11837463482160704,812,0.9985181615251609,1.2205482835811257,0.17356069073585645,1208,0.1392808009368568,-0.0083418542521978,152,False,True,True,True,True,False
False,1.5,20,1438,1438,0,False,4623,6.221068570192515,0.6420684775224994,0.7023865727857659,1.1335673009454856,0.13244461185703948,8.793866307756595,0.45245643802323526,-0.07286885416518474,13.340913142087922,0.1566955173664188,"{2006: np.float64(0.006583957169230992), 2007: np.float64(0.34362957375911773), 2008: np.float64(-0.21287155555259285), 2009: np.float64(0.39619450949410573), 2010: np.float64(0.022161647578365917), 2011: np.float64(0.09943156328241343), 2012: np.float64(0.07431539646020235), 2013: np.float64(0.3065926181922336), 2014: np.float64(-0.022447422341090872), 2015: np.float64(0.029538868085867698), 2016: np.float64(0.08303229148994395), 2017: np.float64(0.11997992510420463), 2018: np.float64(0.13189487464137573), 2019: np.float64(0.41660033024754006), 2020: np.float64(-0.03437555496526645), 2021: np.float64(0.2485100453772917), 2022: np.float64(-0.025587905610479744), 2023: np.float64(0.4204214999904097), 2024: np.float64(0.2626661272964965), 2025: np.float64(0.07176665590867226), 2026: np.float64(-0.05499004861524448)}",0.014295776400621154,0.5980528511821975,0.013646282955038114,0.5433064629603566,1.1093057560129818,0.11144654782827557,568,0.7475132334566721,1.1601441362998195,0.15324122736423162,869,0.44991247209268176,0.10585332787902213,118,False,True,True,True,True,False
False,1.5,60,1438,1438,0,False,4946,17.4443995147594,0.8105012597366875,0.8341901036001261,1.1714710715844445,0.14776825089048362,13.954006893926175,0.4178764739248758,-0.1280290682755896,14.88217234308834,0.11475451068735762,"{2006: np.float64(0.006583957169230992), 2007: np.float64(0.1926037170812538), 2008: np.float64(-0.24524663315453932), 2009: np.float64(0.32606123342386484), 2010: np.float64(0.09647661193471091), 2011: np.float64(0.10800900780265099), 2012: np.float64(0.2154994738298477), 2013: np.float64(0.2722135064338622), 2014: np.float64(0.21926737235992033), 2015: np.float64(0.07089900873264399), 2016: np.float64(0.15716355232017754), 2017: np.float64(0.21309586803891234), 2018: np.float64(0.015988694207650145), 2019: np.float64(0.3549478085636828), 2020: np.float64(0.15452579985430948), 2021: np.float64(0.3103439572960285), 2022: np.float64(-0.09745562759926396), 2023: np.float64(0.061954955656369215), 2024: np.float64(0.29439126669356086), 2025: np.float64(0.19915170338587207), 2026: np.float64(0.16663026951428472)}",0.0398085351175496,0.6474269819193325,0.03771068752829421,0.6868292501770527,1.1389370408590584,0.12628229217000486,551,0.9597847431840517,1.2128666910277732,0.17264298812654677,869,0.23603869623047002,0.023820732881176365,98,False,True,True,True,True,False
