year,start_equity,end_equity,year_return_pct
2000,1.0,1.2217607243593545,22.176072435935446
2001,1.2217607243593545,1.086496682762606,-11.071238328411315
2002,1.086496682762606,1.0441131231421084,-3.9009377840648396
2003,1.0441131231421084,1.2890539948384887,23.459227383261492
2004,1.2890539948384887,1.354296076784075,5.061237326506318
2005,1.354296076784075,1.4971850312863881,10.550791437099827
2006,1.4971850312863881,1.8633417345353547,24.456342776441133
2007,1.8633417345353547,2.5212617037848815,35.308604806921615
2008,2.5212617037848815,2.980137340370119,18.200238233753364
2009,2.980137340370119,3.3030756484034773,10.836356555072424
