lookback_days,sharpe,max_dd,total_return,n_switches,beats_bh_sharpe
5,-0.049917739997517134,-0.3636286359369471,-0.21018632366749923,672,False
10,-0.060119324867299935,-0.36999953294161225,-0.22683154524828142,506,False
15,-0.16304641128116357,-0.4975781866134527,-0.36766528491733097,377,False
20,0.3450772846270324,-0.2532800563424981,0.6507771525290009,352,False
30,0.3544977696622028,-0.3154763449308938,0.6837334428709931,280,False
40,0.013595852120407372,-0.4635636265922908,-0.11607592717949211,275,False
60,0.055860296946799975,-0.4946416421760059,-0.042229431957622854,212,False
90,0.1704236159632285,-0.39356983109828225,0.19070341363830057,172,False
120,-0.09758786404956184,-0.5365153643516988,-0.28415476359903746,151,False
150,-0.004816614850493555,-0.42285487940018024,-0.14362012146563174,158,False
200,-0.16492340743239134,-0.5083401829517759,-0.37082827682706077,89,False
252,-0.3551304978676961,-0.6285347391861726,-0.5596460475069664,96,False
