part,variant,window,thr,direction,H,insufficient,n,n_obs,net_sharpe,gross_sharpe,net_pf,cagr,total_return,ending_cap,max_dd,top_year,skew,ekurt,ev_mean,ev_win_rate,guard_ok,subA_sharpe,subB_sharpe,subA_end,subB_end,pct_in_btc,n_switch
1,level,30,1.0,long,5.0,False,261,1044,-0.20321946755527812,0.9066579739541413,0.9686105414053139,-0.09101947205191196,-0.5597494781261594,44025.05218738406,0.8434086706787676,,0.2970724986286258,4.201986536461731,0.005719764782857386,0.5670498084291188,True,0.994458560504918,-1.698778047804238,185508.26084506215,23732.124912838262,,
1,level,30,1.0,long,20.0,False,108,2052,0.41087582892027974,0.628542384363134,1.066676713647883,0.03955177909963625,0.39594968592175284,139594.96859217528,0.6644925163968801,0.4985121393513127,-0.19225262165732815,6.093966816371586,0.024817488018333635,0.4722222222222222,True,0.6845458662955307,0.05813219814333964,188524.9305937239,74045.89310949354,,
1,level,30,1.0,short,5.0,False,261,1044,-2.0184525968435265,-0.9066579739541413,0.7271979291982077,-0.3592478883056859,-0.9782157286172161,2178.4271382783945,0.9782782759492843,,-0.27750731623648606,4.318953758373476,-0.005719764782857386,0.4329501915708812,True,-2.2853818157471064,-1.7135928122458273,9087.112542621004,23972.71001168944,,
1,level,30,1.0,short,20.0,False,108,2052,-0.8450978548916197,-0.628542384363134,0.8754176125739163,-0.37907596201415394,-0.9833958800041479,1660.411999585206,0.9926582809388719,,0.21115949459596603,6.156505763801243,-0.024817488018333635,0.5277777777777778,True,-0.9287360749695461,-0.7591276544458907,7592.234960364641,21869.87110190084,,
1,level,30,1.5,long,5.0,False,132,528,-1.4181555788278764,-0.27185283984000597,0.7971912130914157,-0.15726694076813985,-0.7695416856194389,23045.831438056106,0.8240913500988123,,-0.049874471850187105,4.373971968480774,-0.001728931514080407,0.5757575757575758,True,-0.982512393421513,-1.892367099389681,56637.32379311371,40690.18430715147,,
1,level,30,1.5,long,20.0,False,76,1444,0.5596765053117049,0.7809425833776656,1.092029881150392,0.07337192017922001,0.8383971909975778,183839.71909975779,0.7440510571339276,0.6148897766634918,0.07045862307403639,4.940897896845522,0.028412421546074033,0.5,True,1.3407675085235355,-0.31164992826037036,355458.15389451256,51719.08903637488,,
1,level,30,1.5,short,5.0,False,132,528,-0.8727483813779348,0.27185283984000597,0.8717973543004471,-0.11041241334868468,-0.63343016993942,36656.98300605799,0.7370874954481147,,0.02266598767516025,4.411610001540472,0.001728931514080407,0.42424242424242425,True,-0.29075782214967705,-1.491626651516552,76044.78013071933,48204.46971251074,,
1,level,30,1.5,short,20.0,False,76,1444,-1.0007805714071185,-0.7809425833776656,0.8543258863713081,-0.3181827604063727,-0.9628795766820544,3712.0423317945606,0.979228627351522,,-0.04864757725018721,4.953600817328599,-0.028412421546074033,0.5,True,-1.5770824651696642,-0.3763740288239309,7750.3759087717035,47894.997294174565,,
1,level,30,2.0,long,5.0,False,61,244,0.6844131825677566,1.8078793872139323,1.1153558144452618,0.018923055764559216,0.16849695482381932,116849.69548238193,0.3775684963355484,1.431232693646624,0.3762966999851548,3.6896241840500705,0.01220666164040781,0.6885245901639344,True,-0.13638436521055886,1.3091468897639007,92359.73521381179,126515.84070902356,,
1,level,30,2.0,long,20.0,False,47,893,0.3920857091629948,0.6399330622216562,1.062450759120427,0.015819639767970628,0.13999520114801722,113999.52011480172,0.6188719589770961,1.2327433636310077,0.008846853248178844,3.3013600252159394,0.02201154111404462,0.5531914893617021,True,0.4600937840005397,0.33835668063378244,108128.83230394385,105429.345425978,,
