year,n_trades,days_in_position,start_equity,end_equity,year_return_pct,net_pf
2018,8,160,100000.0,40792.384626942,-0.59207615373058,0.6962547239922001
2019,8,160,40792.384626942,106588.49297922176,1.6129507738761522,1.7887855218162498
2020,11,214,106588.49297922176,119412.02406904787,0.12030877566048259,1.1156906025920317
2021,10,206,119412.02406904787,171903.19998816634,0.43958032139850833,1.1985143699857963
2022,7,122,171903.19998816634,90861.95359971898,-0.47143535660782443,0.6254910676101356
2023,8,178,90861.95359971898,137002.86267047937,0.5078133062604886,1.408548970663496
2024,9,180,137002.86267047937,238316.66001447817,0.7395013167548166,1.4174147676141642
2025,6,120,238316.66001447817,271395.23302207404,0.1388009256490348,1.196106872771787
2026,5,100,271395.23302207404,220761.99009805193,-0.18656644171750736,0.8117972108403109
