multiplier,sharpe,max_dd,total_return,n_challenges,phase1_pass_rate,funded_rate,dd_breach_rate
1.0,1.3315714631519253,0.07008250201042614,1.465126707031001,154,0.0,0.0,0.0
2.0,1.3315714631519253,0.1362189222395602,4.838268338894425,154,0.08441558441558442,0.01948051948051948,0.0
3.0,1.3315714631519253,0.19855882768199556,12.285296222098658,154,0.22727272727272727,0.18181818181818182,0.03896103896103896
4.0,1.3315714631519253,0.2572513461781379,28.048882983987784,154,0.34415584415584416,0.2727272727272727,0.11688311688311688
5.0,1.3315714631519253,0.31244472740034573,60.03502970995541,154,0.3961038961038961,0.34415584415584416,0.2662337662337662
6.0,1.3315714631519253,0.36690598992885265,122.23467276532438,154,0.44155844155844154,0.35714285714285715,0.42857142857142855
7.0,1.3315714631519253,0.42028521769696814,238.10862098108979,154,0.461038961038961,0.35714285714285715,0.5324675324675324
8.0,1.3315714631519253,0.47099977849002306,444.82322070127964,154,0.43506493506493504,0.3181818181818182,0.6233766233766234
9.0,1.331571463151925,0.5189610189344517,797.7738849236296,154,0.42207792207792205,0.2922077922077922,0.6818181818181818
10.0,1.3315714631519253,0.564112396321736,1374.1792692005379,154,0.37662337662337664,0.24025974025974026,0.7402597402597403
12.0,1.3315714631519253,0.645907944275715,3614.2197790967593,154,0.38311688311688313,0.21428571428571427,0.7662337662337663
14.0,1.3315714631519253,0.7164955480654622,8093.107452452794,154,0.4155844155844156,0.2012987012987013,0.7857142857142857
