name,first,last,n_days,total_return,sharpe,max_dd,recovery_days,top_year_share,dsr,dsr_pool_n
"EQUAL-WEIGHT ALL (restricted, N=60)",2018-01-01,2025-12-31,2922,-0.7502118449777848,-4.552061185569797,0.753006235407309,,,1.135266296611042e-87,64
"INVERSE-VOL-WEIGHT ALL (restricted, N=60)",2018-01-01,2025-12-31,2922,-0.0057058417436764985,-0.8482175514949922,0.006422826547656357,,,2.815931843960478e-51,64
"LOW-CORR SUBSET, quality-blind (restricted, N=20)",2018-01-01,2025-12-31,2922,-0.9918421162068302,-11.065436576988043,0.9918605044038555,,,1.609685393411618e-231,64
"LOW-CORR SUBSET, positive-Sharpe-only (restricted, N=12)",2018-01-01,2025-12-31,2922,0.0729947407703615,0.23919571804195652,0.15117226912332193,1791.0,1.1073716779362095,2.877839161276227e-25,64
