multiplier,sharpe,max_dd,total_return,years_pos,years_total,worst_day,phase1_independent,phase2_independent,phase1_only_chain,funded_chained,dd_breach_rate
2.0,1.792948513914022,0.06136499934876641,1.8722656788941339,9,9,-0.021183234089441193,0.0,0.1320754716981132,0.0,0.0,0.0
3.0,1.7929485139140222,0.09138826183019702,3.8041262809091503,9,9,-0.031774851134161786,0.03773584905660377,0.330188679245283,0.03773584905660377,0.009433962264150943,0.0
4.0,1.792948513914022,0.12095236076860257,6.9648420641587565,9,9,-0.042366468178882385,0.14150943396226415,0.4339622641509434,0.14150943396226415,0.05660377358490566,0.0
5.0,1.792948513914022,0.1500436879055165,12.08889765888604,9,9,-0.052958085223602985,0.18867924528301888,0.4716981132075472,0.18867924528301888,0.12264150943396226,0.04716981132075472
6.0,1.7929485139140222,0.1786495537843274,20.31973028214043,9,9,-0.06354970226832357,0.32075471698113206,0.4716981132075472,0.32075471698113206,0.1509433962264151,0.12264150943396226
7.0,1.792948513914022,0.2067581875130326,33.419298815990786,9,9,-0.07414131931304417,0.3584905660377358,0.3490566037735849,0.3584905660377358,0.11320754716981132,0.24528301886792453
8.0,1.792948513914022,0.23435873481571887,54.07472174003639,9,9,-0.08473293635776477,0.37735849056603776,0.2830188679245283,0.37735849056603776,0.10377358490566038,0.3584905660377358
9.0,1.792948513914022,0.26144125440729316,86.34141558844553,9,9,-0.09532455340248537,0.330188679245283,0.20754716981132076,0.330188679245283,0.07547169811320754,0.4716981132075472
10.0,1.792948513914022,0.28799671272948946,136.2754039980892,9,9,-0.10591617044720597,0.2641509433962264,0.20754716981132076,0.2641509433962264,0.07547169811320754,0.5
12.0,1.7929485139140222,0.3394948072446086,329.06228962734946,9,9,-0.12709940453664714,0.2358490566037736,0.16037735849056603,0.2358490566037736,0.05660377358490566,0.5660377358490566
14.0,1.792948513914022,0.38879860524706594,764.3207369025788,9,9,-0.14828263862608834,0.18867924528301888,0.16981132075471697,0.18867924528301888,0.05660377358490566,0.5566037735849056
